Lang,CurrencyISO,CurrencyName,Money,Symbol
"IT","CDF","Franco congolese","Franc","F"
"IT","BIF","Franco del Burundi","Franc","F"
"IT","KMF","Franco delle Comore","Franc","F"
"IT","DJF","Franco gibutiano","الفرنك","F"
"IT","GNF","Franco guineano","Franc","F"
"IT","RWF","Franco ruandese","Franc","R"
"IT","CHF","Franco svizzero","Franc","F"
"IT","HTG","Gourde haitiano","Gourde","G"
"IT","UAH","Grivnia ucraina","Гривня","₴"
"IT","PYG","Guarani paraguaiano","Guaraní","₲"
"IT","GWP","Guinea-Bissau Peso","Peso","$"
"IT","PGK","Kina papuana","Kina","K"
"IT","LAK","Kip laotiano","ກີບ","₭"
"IT","EEK","Kroon","Kroon","K"
"IT","HRK","Kuna croata","Kuna","k"
"IT","MWK","Kwacha malawiano","Kwacha","M"
"IT","ZMK","Kwacha zambiano","Kwacha","Z"
"IT","AOA","Kwanza angolano","Kwanza","K"
"IT","MMK","Kyat birmano","Kyat","K"
"IT","GEL","Lari georgiano","ლარი","l"
"IT","LVL","Lats lettone","Lats","L"
"IT","ALL","Lek albanese","Leku","L"
"IT","HNL","Lempira honduregna","Lempira","L"
"IT","SLL","Leone sierraleonese","Leone","L"
"IT","MDL","Leu moldavo","Leu","l"
"IT","SZL","Lilangeni dello Swaziland","Lilangeni","L"
"IT","EGP","Lira egiziana","الجنيه","£"
"IT","LBP","Lira libanese (o sterlina)","ليرة,","ل"
"IT","SYP","Lira siriana (o sterlina)","الليرة","S"
"IT","LTL","Lita lituano","Litas","L"
"IT","LSL","Loti lesothiano","Loti","L"
"IT","AZN","Manat azero","Manatı","м"
